Seed,Desc,Player,Wilds,H20,Predict,Actual,Quality,Play,Points,Ante,Surr,Total,R_Wilds,R_Ante,R_Surr,R_Points,R_Totals,R_Plays,R_Wins,R_Games,Hand 1,Hand 2,Hand 3,Hand 4,Hand 5,Hand 6,Total,h1_score,h1_points,h2_score,h2_points,h3_score,h3_points,h4_score,h4_points,h5_score,h5_points,h6_score,h6_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,1102,3188,2535.3, Monster,   True,-2,-20,0,-22,1,-80,-80,-22,-182,3,0,5,   J, Pair 3, Pair K, Four 5, FiveSF T, Five A, (2535.3, (11101, 6.6), (20309, 2.5), (21308, 20.1), (80510, 1060.4), (91009, 930.9), (101400, 514.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,968.6,2410.9,3799.8, Monster,   True,106,100,0,206,5,240,10,258,508,4,3,6,   A, Pair J, Four 5, Four 6, Four 8, Five 4, (3799.8, (11402, 67.8), (21103, 30.1), (80503, 1568.0), (80612, 1094.0), (80814, 601.5), (100400, 438.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,654,1647.4,1352.2,     Ok,   True,-85,-20,0,-105,1,-20,60,-125,-85,5,1,6,  HA, Trip HD9, Trip SST, Trip HDQ, Flush A, FullH 7, (1352.2, (11403, 82.5), (40932, 737.8), (41044, 374.1), (41232, 92.4), (61413, 37.5), (70705, 27.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,275.8,1521.7,1382.9,     Ok,   True,-88,-20,0,-108,1,-100,-60,-166,-326,4,0,6,   A, Trip SH7, Trip SH8, Trip SHQ, FullH 2, Four T, (1382.9, (11403, 82.5), (40743, 647.5), (40843, 268.9), (41243, 107.9), (70205, 76.3), (81014, 199.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,930.6,2128.1,2758.1,   Good,   True,47,-20,0,27,4,-30,90,7,67,6,1,6,   Q, Pair K, Trip HD4, Four 9, FiveSF K, Five 6, (2758.1, (11201, 13.3), (21310, 38.6), (40432, 158.5), (80911, 1148.0), (91312, 945.8), (100600, 453.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,919,2371.3,1908.8, Monster,   True,5,-20,0,-15,4,10,-20,33,23,3,1,6,   Q, Trip HDJ, Trip SSK, Trip SSA, FullH 7, Four 2, (1908.8, (11204, 22.7), (41132, 847.0), (41344, 570.0), (41444, 232.9), (70708, 110.2), (80206, 126.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,886.4,1676.3,2213,     Ok,   True,15,-20,0,-5,2,-100,-80,-7,-187,4,0,6,   Q, Trip SH9, Trip HHK, Trip HDA, Straight 7, SixSF Q, (2213.0, (11201, 13.3), (40943, 774.0), (41333, 529.3), (41432, 176.2), (50706, 2.0), (111211, 718.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,180,1288,1420.6, Not Ok,  False,0,-10,-40,-50,5,230,-30,258,458,4,3,7,   A, Trip SC7, Trip SDJ, Trip DCQ, FullH 4, Four 3, (1420.6, (11402, 67.8), (40741, 616.0), (41142, 409.6), (41221, 86.3), (70413, 99.4), (80314, 141.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,756.5,1192.4,773.5, Not Ok,  False,0,-10,-40,-50,1,-30,20,-125,-135,5,1,7,  SQ, Pair T, Trip SCK, Trip HDA, Flush 9, Flush Q, (773.5, (11204, 22.7), (21011, 29.1), (41341, 531.5), (41432, 176.2), (60908, 11.7), (61207, 2.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,514.3,1555,1619.2,     Ok,   True,2,-20,0,-18,2,-120,-60,-164,-344,5,0,7,   A, Trip SD9, Trip SST, Trip HHJ, Flush A, FiveSF 6, (1619.2, (11403, 82.5), (40942, 755.2), (41044, 374.1), (41133, 73.7), (61413, 37.5), (90605, 296.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,541.3,1520.9,1806.7,     Ok,   True,0,-20,0,-20,4,-50,90,7,47,7,1,7,   A, Trip SH8, Trip CCT, Trip SHK, FullH 5, Five 2, (1806.7, (11404, 100.0), (40843, 711.3), (41011, 320.8), (41343, 149.3), (70509, 103.0), (100200, 422.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,515.1,1714.8,1934.3,     Ok,   True,-25,-20,0,-45,5,-10,-20,8,-22,4,1,7,   A, Pair 8, Pair K, Four 5, Four 7, Four 9, (1934.3, (11403, 82.5), (20806, 17.0), (21304, 18.4), (80510, 1060.4), (80712, 568.1), (80911, 187.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,1016.5,3138.3,2076.2, Monster,   True,23,80,80,183,2,-20,0,16,-4,5,1,7,   A, Pair 4, Pair 7, Four 6, Four J, Four Q, (2076.2, (11404, 100.0), (20409, 4.5), (20708, 2.9), (80610, 1087.5), (81114, 664.8), (81213, 216.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,1267.4,2082.4,1454.4,   Good,   True,-9,-20,0,-29,6,210,-30,249,429,5,3,8,   A, Trip HD9, Trip SDT, Trip HDK, Flush Q, Four 5, (1454.4, (11402, 67.8), (40932, 737.8), (41042, 350.6), (41332, 123.4), (61207, 19.6), (80512, 155.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,231.1,1265,1109.1, Not Ok,  False,0,-10,-40,-50,1,-40,-20,-125,-185,5,1,8,  HA, Pair 8, Pair K, Trip SS9, Four T, FiveSF 7, (1109.1, (11403, 82.5), (20807, 17.8), (21306, 19.2), (40944, 54.8), (81012, 633.5), (90706, 301.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,306.7,1159.8,815.5, Not Ok,  False,0,-10,-40,-50,2,-130,-100,-164,-394,5,0,8,   A, Trip DD4, Trip HD7, Trip HD9, Flush K, Flush A, (815.5, (11402, 67.8), (40422, 437.5), (40732, 219.3), (40932, 48.7), (61312, 32.1), (61411, 10.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,632,1491.6,1782.1,     Ok,   True,34,80,80,194,4,30,170,41,241,8,2,8,   Q, Trip SDJ, Trip DCA, Trip SHA, FullH 3, FullH 6, (1782.1, (11203, 18.9), (41142, 858.1), (41421, 570.5), (41443, 218.0), (70310, 90.2), (70608, 26.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,1255.8,1962.1,2090,   Good,   True,3,-20,0,-17,6,-30,-20,11,-39,5,1,8,   Q, Pair 2, Pair 5, Trip HHJ, Flush K, TenSF K, (2090.0, (11204, 22.7), (20206, 0.8), (20503, 0.7), (41133, 73.7), (61312, 32.1), (191312, 1960.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,551.5,1693,1348.2,     Ok,   True,-28,-20,0,-48,2,-40,0,-12,-52,6,1,8,   A, Trip HD8, Trip SDJ, Trip SHQ, Flush A, FullH 4, (1348.2, (11404, 100.0), (40832, 673.0), (41142, 409.6), (41243, 107.9), (61413, 37.5), (70407, 20.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,787.3,1628.2,1669.9,     Ok,   True,12,-20,0,-8,6,190,-30,261,421,6,3,9,   A, Pair J, Pair Q, Trip SS3, Four 8, Six 4, (1669.9, (11402, 67.8), (21113, 34.2), (21210, 18.0), (40344, 23.9), (80813, 596.5), (120400, 929.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,792,2036,2123.9,   Good,   True,5,-20,0,-15,2,-60,-20,-120,-200,6,1,9,  CK, Pair T, Trip SD6, Four 5, Four 7, Four A, (2123.9, (11301, 26.9), (21009, 28.6), (40642, 202.4), (80511, 1064.8), (80712, 568.1), (81412, 233.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,394.9,1649.2,1462.8,     Ok,   True,-12,-20,0,-32,2,-150,-100,-176,-426,6,0,9,   K, Trip DD9, Trip SHT, Trip SSJ, FullH 5, Four 2, (1462.8, (11304, 47.8), (40922, 726.9), (41043, 365.5), (41144, 85.2), (70512, 104.6), (80213, 132.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,2,852.4,2237.4,2120.7, Monster,   True,47,90,40,177,6,120,210,88,418,9,3,9,   K, Pair T, Pair Q, Four 6, Four 9, FiveSF A, (2120.7, (11304, 47.8), (21005, 25.9), (21203, 14.3), (80607, 1076.4), (80913, 617.3), (91405, 339.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,356.5,1188,1264.4, Not Ok,  False,0,-10,-40,-50,6,-40,-60,11,-89,5,1,9,   Q, Trip SH9, Trip SDT, Trip SHJ, Flush K, Flush A, (1264.4, (11203, 18.9), (40943, 774.0), (41042, 350.6), (41143, 82.4), (61311, 29.9), (61408, 8.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,467.8,1506.7,784.6,     Ok,   True,-52,-20,0,-72,2,-60,0,-64,-124,7,1,9,   A, Pair J, Pair Q, Trip SHK, Flush A, Five 8, (784.6, (11403, 82.5), (21109, 32.5), (21209, 17.6), (41343, 149.3), (61407, 32.9), (100800, 469.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,2682.4,4134.7,4334.6, Monster,   True,104,80,80,264,6,270,50,365,685,7,4,10,   A, Pair 6, Trip HH3, Four K, Six 4, Six Q, (4334.6, (11404, 100.0), (20608, 9.9), (40333, 145.1), (81309, 1186.8), (120400, 1940.0), (121200, 952.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,243.7,1311.6,1557.6, Not Ok,  False,0,-10,-40,-50,2,-70,-60,-120,-250,6,1,10,  HK, Pair 5, Pair 7, Pair J, FullH 9, EightSF A, (1557.6, (11303, 39.8), (20510, 7.4), (20708, 2.9), (21106, 1.8), (70903, 112.8), (151408, 1392.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,1944.7,2618.4,3866.9, Monster,   True,30,-20,0,10,3,-170,-100,-146,-416,7,0,10,   Q, Trip HD8, Trip SSK, Four 2, FiveSF J, SixSF T, (3866.9, (11203, 18.9), (40832, 673.0), (41344, 570.0), (80211, 961.1), (91110, 935.4), (111009, 708.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,877.6,1902.5,1786.8,   Good,   True,-55,-20,0,-75,6,100,210,33,343,10,3,10,   A, Trip SH9, Trip DCK, Trip SHA, Flush J, Four T, (1786.8, (11402, 67.8), (40943, 774.0), (41321, 513.7), (41443, 218.0), (61106, 15.0), (81012, 198.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,241.8,1225.2,1144.3, Not Ok,  False,0,-10,-40,-50,6,-50,-100,11,-139,5,1,10,   A, Trip DD5, Trip DDJ, Trip HDA, Flush T, Flush K, (1144.3, (11403, 82.5), (40522, 484.2), (41122, 379.3), (41432, 176.2), (61009, 14.2), (61312, 7.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,2,468,2077.1,1806.6,   Good,   True,-79,-20,0,-99,4,-80,0,-143,-223,8,1,10,   A, Pair 9, Pair T, Four 2, Four 7, Four 8, (1806.6, (11402, 67.8), (20906, 21.5), (21006, 8.6), (80211, 961.1), (80712, 568.1), (80811, 179.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,2,1095.8,2178.4,3398.7,   Good,   True,60,80,80,220,8,350,130,425,905,8,5,11,   K, Pair 2, Trip DCA, Four 7, FiveSF A, SixSF K, (3398.7, (11302, 32.5), (20206, 0.8), (41421, 570.5), (80711, 1113.3), (91413, 958.7), (111312, 722.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,849.9,2042.9,2931.5,   Good,   True,-57,-20,0,-77,2,-90,-60,-177,-327,7,1,11,  SA, Trip SD6, Trip SHQ, Four 2, Four 8, Four T, (2931.5, (11404, 100.0), (40642, 562.5), (41243, 497.9), (80213, 970.2), (80814, 601.5), (81013, 199.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,976.9,2017.8,2667.1,   Good,   True,-7,-20,0,-27,3,-190,-100,-153,-443,8,0,11,   J, Pair 9, Trip SHA, Four 5, Four K, FiveSF K, (2667.1, (11102, 7.8), (20904, 20.7), (41443, 580.3), (80504, 1043.9), (81306, 686.0), (91312, 328.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,182.7,971.3,981.6,    Sad,  False,0,-10,-40,-50,6,90,170,33,293,10,3,11,   A, Trip SH4, Trip SH5, Trip DC9, Flush A, Four 3, (981.6, (11404, 100.0), (40443, 472.4), (40543, 186.0), (40921, 46.5), (61413, 37.5), (80312, 139.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,391.9,1080.2,945.7, Not Ok,  False,0,-10,-40,-50,6,-60,-140,11,-189,5,1,11,   A, Trip HD4, Trip SH9, Trip SHJ, Flush J, Flush Q, (945.7, (11403, 82.5), (40432, 445.7), (40943, 314.4), (41143, 82.4), (61110, 18.4), (61207, 2.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,1044.2,2513,2270.1, Monster,   True,4,-20,0,-16,5,-100,0,-139,-239,9,1,11,   K, Pair 8, Pair J, Four 7, Four T, Five 6, (2270.1, (11303, 39.8), (20805, 16.4), (21104, 10.9), (80712, 1115.6), (81012, 633.5), (100600, 453.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,489.8,1557.9,1718.1,     Ok,   True,-3,-20,0,-23,9,330,130,422,882,9,5,12,   Q, Trip HD9, Trip HHK, Trip SDA, FullH 2, Four 5, (1718.1, (11203, 18.9), (40932, 737.8), (41333, 529.3), (41442, 195.4), (70210, 81.5), (80512, 155.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,403,1265.8,819.6, Not Ok,  False,0,-10,-40,-50,2,-100,-100,-177,-377,7,1,12,  CK, Trip SD4, Trip HC7, Trip SDQ, Straight Q, Flush A, (819.6, (11301, 26.9), (40442, 458.6), (40731, 214.7), (41242, 99.9), (51211, 7.1), (61413, 12.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,788.7,2197.9,3169.9,   Good,   True,60,80,80,220,3,-110,-20,-93,-223,9,1,12,   Q, Trip SD6, Trip SS8, Four 7, Four A, Five J, (3169.9, (11201, 13.3), (40642, 562.5), (40844, 274.8), (80710, 1110.6), (81412, 716.4), (101100, 492.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,236.1,957.8,997,    Sad,  False,0,-10,-40,-50,6,80,130,33,243,10,3,12,   A, Trip HD2, Trip HD8, Trip SSK, Straight K, Four 3, (997.0, (11403, 82.5), (40232, 365.3), (40832, 247.9), (41344, 157.8), (51312, 7.9), (80310, 135.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,2,1235.4,2548.8,2796.1, Monster,   True,28,-20,0,8,8,-80,-140,39,-181,6,1,12,   A, Pair 6, Trip HDJ, Four 4, FiveSF T, FiveSF J, (2796.1, (11404, 100.0), (20612, 11.5), (41132, 391.1), (80414, 1042.5), (91009, 930.9), (91110, 320.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,819.7,2025.3,1163.7,   Good,   True,-85,-20,0,-105,5,-120,0,-224,-344,10,1,12,   Q, Trip HC6, Trip SH7, Trip SDK, FullH 5, Four 3, (1163.7, (11203, 18.9), (40631, 536.8), (40743, 234.3), (41342, 135.7), (70504, 100.6), (80311, 137.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,609.4,1702,1513.4,     Ok,   True,-49,-20,0,-69,10,310,130,373,813,10,5,13,   T, Trip SSJ, Trip SHQ, Trip HDK, Straight 7, Flush K, (1513.4, (11004, 5.6), (41144, 876.6), (41243, 497.9), (41332, 123.4), (50706, 2.0), (61312, 7.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,309.5,1334.2,1066.2, Not Ok,  False,0,-10,-40,-50,2,-110,-140,-177,-427,7,1,13,  DA, Trip SC7, Trip SH8, Trip SH9, Flush A, FullH 5, (1066.2, (11402, 67.8), (40741, 616.0), (40843, 268.9), (40943, 53.7), (61413, 37.5), (70503, 22.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,1392.3,2617,2621.5, Monster,   True,4,-20,0,-16,4,-130,-20,-89,-239,10,1,13,   K, Trip SS3, Trip SD6, Four 2, Four J, FiveSF A, (2621.5, (11304, 47.8), (40344, 433.3), (40642, 202.4), (80207, 937.3), (81112, 655.5), (91413, 345.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,839.7,1583.6,1884.9,     Ok,   True,-1,-20,0,-21,6,60,130,32,222,11,3,13,   A, Trip SHQ, Trip SHK, Trip SHA, FullH 5, FullH 7, (1884.9, (11403, 82.5), (41243, 893.1), (41343, 558.4), (41443, 218.0), (70511, 104.2), (70710, 28.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,1030.6,2579.1,3000, Monster,   True,46,80,80,206,8,0,-60,85,25,7,2,13,   A, Pair Q, Trip HH6, Four 4, Five 8, Five T, (3000.0, (11402, 67.8), (21209, 36.0), (40633, 197.8), (80411, 1035.1), (100800, 1178.7), (101000, 484.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,413.1,1141.9,1216.1, Not Ok,  False,0,-10,-40,-50,5,-130,-40,-224,-394,10,1,13,   A, Trip SD6, Trip SH8, Trip SD9, FullH 2, Four 7, (1216.1, (11403, 82.5), (40642, 562.5), (40843, 268.9), (40942, 51.3), (70204, 75.8), (80714, 175.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,1278.9,3377,3944.5, Monster,   True,96,90,40,226,11,400,170,469,1039,11,6,14,   Q, Trip SD8, Trip SSA, Four 5, Five 2, Five 3, (3944.5, (11202, 15.8), (40842, 691.9), (41444, 582.0), (80512, 1068.3), (100200, 1155.8), (100300, 430.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,662.9,1529.1,1365.9,     Ok,   True,-56,-20,0,-76,2,-130,-140,-233,-503,8,1,14,  DA, Pair Q, Trip SH3, Trip SHT, Four 5, Five K, (1365.9, (11402, 67.8), (21211, 37.0), (40343, 152.0), (41043, 65.2), (80514, 536.0), (101300, 507.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,826.6,1977.8,2100.9,   Good,   True,-22,-20,0,-42,5,-150,-20,-111,-281,11,1,14,   A, Pair 4, Pair 7, Trip HH8, Flush Q, TenSF K, (2100.9, (11402, 67.8), (20413, 5.6), (20706, 2.7), (40833, 42.1), (61210, 22.7), (191312, 1960.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,824.5,1677,1630.3,     Ok,   True,-34,-20,0,-54,6,40,130,-2,168,12,3,14,   K, Trip SHT, Trip SHJ, Trip SHA, FullH 4, FullH 6, (1630.3, (11302, 32.5), (41043, 828.3), (41143, 429.7), (41443, 218.0), (70409, 96.8), (70603, 25.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,430.3,1403.3,2241.8,     Ok,   True,16,-20,0,-4,8,-20,-60,101,21,8,2,14,   A, Pair 9, Trip SD8, Four 6, Four 7, Four Q, (2241.8, (11402, 67.8), (20910, 23.7), (40842, 258.4), (80613, 1095.5), (80714, 579.9), (81213, 216.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,611.8,1163.5,1148, Not Ok,  False,0,-10,-40,-50,5,-140,-80,-224,-444,10,1,14,   K, Pair T, Pair Q, Trip HD4, Four 7, Five J, (1148.0, (11301, 26.9), (21009, 28.6), (21208, 16.9), (40432, 24.9), (80709, 558.4), (101100, 492.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,720.8,1652.2,1482.7,     Ok,   True,-14,-20,0,-34,11,380,170,455,1005,12,6,15,   A, Pair 4, Pair 6, Pair J, Four 2, Six T, (1482.7, (11401, 56.2), (20412, 5.3), (20609, 1.8), (21108, 2.1), (80213, 469.4), (121000, 947.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,1497.8,3013.7,1981.3, Monster,   True,44,90,40,174,3,-40,-100,-189,-329,9,2,15,  ST, Trip SH8, Trip SD9, Trip SHA, Four 6, Four Q, (1981.3, (11004, 5.6), (40843, 711.3), (40942, 300.8), (41443, 218.0), (80607, 536.3), (81207, 209.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,808.7,1298,1369.6, Not Ok,  False,0,-10,-40,-50,5,-160,-60,-111,-331,11,1,15,   A, Pair 5, Pair K, Trip SH7, Four 3, SixSF K, (1369.6, (11404, 100.0), (20510, 7.4), (21309, 20.5), (40743, 38.9), (80311, 479.9), (111312, 722.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,431,1472.3,938.8,     Ok,   True,-70,-20,0,-90,6,20,130,-72,78,13,3,15,   A, Trip SS5, Trip SD6, Trip SHJ, Flush K, Flush A, (938.8, (11403, 82.5), (40544, 529.3), (40642, 202.4), (41143, 82.4), (61312, 32.1), (61411, 10.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,1036.1,2581.2,1749.9, Monster,   True,6,-20,0,-14,9,-40,-60,107,7,9,2,15,   J, Trip DC7, Trip SDQ, Trip HDK, FullH 2, Five 8, (1749.9, (11104, 11.3), (40721, 592.4), (41242, 476.7), (41332, 123.4), (70205, 76.3), (100800, 469.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,876.1,1810.9,1640.8,   Good,   True,34,-20,0,14,6,-160,-80,-190,-430,11,1,15,   K, Trip HD9, Trip HDA, Trip SSA, Flush K, FullH 4, (1640.8, (11304, 47.8), (40932, 737.8), (41432, 573.5), (41444, 232.9), (61311, 29.9), (70402, 18.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,1012.3,1434.2,2804.1,     Ok,   True,19,70,90,179,12,450,260,474,1184,13,7,16,   A, Pair 8, Trip HH2, Four J, FiveSF K, Five 3, (2804.1, (11404, 100.0), (20812, 19.9), (40233, 132.7), (81114, 1175.0), (91312, 945.8), (100300, 430.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,769,2199.9,1986.6,   Good,   True,-2,-20,0,-22,3,-60,-100,-191,-351,10,2,16,  HA, Pair 2, Pair 4, Pair T, Five 5, SixSF A, (1986.6, (11403, 82.5), (20214, 2.0), (20413, 0.7), (21011, 1.3), (100500, 1169.5), (111406, 730.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,168.6,1111.3,1211.8, Not Ok,  False,0,-10,-30,-40,5,-170,-90,-111,-371,11,1,16,   K, Trip SS8, Trip HDT, Trip HCJ, Flush Q, FullH 2, (1211.8, (11304, 47.8), (40844, 721.5), (41032, 334.8), (41131, 69.5), (61211, 24.6), (70207, 13.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,301.1,1185,1210.2, Not Ok,  False,0,-10,-30,-40,6,10,100,-72,38,13,3,16,   A, Trip SD7, Trip SC9, Trip SDQ, FullH 4, FullH 5, (1210.2, (11402, 67.8), (40742, 627.0), (40941, 293.2), (41242, 99.9), (70413, 99.4), (70506, 22.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,1037.4,2392.2,1599.2, Monster,   True,-17,-20,0,-37,9,-60,-60,90,-30,10,2,16,   A, Pair 8, Pair 9, Pair Q, Four 4, Six K, (1599.2, (11404, 100.0), (20810, 18.9), (20907, 6.5), (21206, 3.1), (80414, 515.3), (121300, 955.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,421.9,1335.4,1449, Not Ok,  False,0,-10,-30,-40,6,-170,-110,-190,-470,11,1,16,   K, Trip HH6, Trip SHQ, Trip HDA, Straight J, Four 7, (1449.0, (11304, 47.8), (40633, 551.5), (41243, 497.9), (41432, 176.2), (51110, 6.1), (80710, 169.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,1005.4,2701.3,2149.5, Monster,   True,32,80,80,192,12,530,340,506,1376,14,8,17,   K, Pair 6, Trip SHQ, Trip SHA, FiveSF 7, Five 8, (2149.5, (11303, 39.8), (20611, 11.1), (41243, 497.9), (41443, 218.0), (90706, 912.9), (100800, 469.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,744.2,2767.2,1860.3, Monster,   True,-22,-20,0,-42,4,-80,-100,-213,-393,11,2,17,  SK, Trip DDT, Trip HHJ, Trip SHA, FullH 9, FiveSF 6, (1860.3, (11304, 47.8), (41022, 788.1), (41133, 396.6), (41443, 218.0), (70912, 113.6), (90605, 296.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,467,1762.7,1634.3,     Ok,   True,12,-20,0,-8,6,-190,-90,-99,-379,12,1,17,   J, Trip SHQ, Trip SDK, Trip HDA, Flush 9, Flush J, (1634.3, (11104, 11.3), (41243, 893.1), (41342, 540.7), (41432, 176.2), (60908, 11.7), (61108, 1.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,96.5,838.4,899.5,    Sad,  False,0,-10,-40,-50,6,0,60,-72,-12,13,3,17,   A, Trip SH4, Trip SH6, Trip SHK, Flush T, Flush T, (899.5, (11401, 56.2), (40443, 472.4), (40643, 208.0), (41343, 149.3), (61007, 12.6), (61009, 1.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
