91100,411.55,80511,624.16,40400,50.94,40300,266.7,21310,61.33,11203,43.23,1457.91,,,,,
91400,425.25,80811,678.56,80312,1180.44,21309,24.95,21009,38.67,11401,87.28,2435.15,,,,,
91000,404.1,80411,607.04,41403,281.4,41303,592.38,41204,1998.8,11104,27.47,3911.19,,,,,
91300,419.55,80711,660.96,80311,1179.84,21406,28.37,21310,55.77,11203,41.74,2386.23,,,,,
91100,412.4,80511,620.72,80312,1169.4,21409,29.46,20810,25.7,11304,66.8,2324.48,,,,,
90900,403.05,80311,578.32,41404,285.27,41004,506.04,40403,1437.6,11201,35.65,3245.93,,,,,
91300,420.5,80710,653.28,80410,1183.2,41400,597.96,41200,898.02,11103,27.69,3780.65,,,,,
91200,416.7,80610,636.64,41304,241.47,41104,547.68,40503,1591.6,11402,90.58,3524.67,,,,,
91400,426.05,80809,669.04,80711,1189.32,40400,292.62,21008,39.5,11403,96.7,2713.23,,,,,
81104,276.88,70512,126.9,80706,1176.24,41404,596.76,40903,1888.8,10801,7.25,4072.83,,,,,
51405,15.86,40812,5.18,40702,124.2,40402,390.54,21312,74.81,11401,99.02,709.61,,,,,
51405,16.76,40812,4.52,40703,111.81,40603,424.56,21412,74.8,11303,69.67,702.12,,,,,
51405,15.86,40812,5.18,40704,124.65,40602,446.7,21312,74.81,11402,99.28,766.48,,,,,
91400,428,80807,665.92,80510,1175.76,80400,9577.92,21207,43.7,11102,25.38,11916.68,,,,,
90807,419.05,80213,635.68,41204,233.58,40804,503.58,40704,864.09,11404,100,2755.98,,,,,
91405,457.9,80811,749.52,41200,252.15,41000,573.72,40500,861.84,11400,100,2995.13,,,,,
91100,409.45,80506,615.44,80211,1176,41203,575.4,40901,1934.6,11302,61.82,4772.71,,,,,
91009,429.4,80414,670.88,41104,207.15,40804,505.02,40604,846.9,11404,100,2759.35,,,,,
90807,427.65,80212,660.08,41300,269.04,41000,560.58,40800,881.73,11400,100,2899.08,,,,,
90908,423.95,80312,651.2,41304,263.76,40804,503.58,40204,746.73,11404,100,2689.22,,,,,
91405,445.3,80809,720.48,41204,233.58,40503,420.36,21009,56.9,11102,35.12,1911.74,,,,,
91405,435.65,80809,690.88,41203,218.52,41004,546.18,21311,66.84,11404,100,2058.07,,,,,
91110,432.9,80513,681.76,41204,233.58,40404,392.4,40402,804.96,11302,73.26,2618.86,,,,,
